RestoreOp Restore
SliceOp Slice
StringLengthOp StringLength
QuantizedMulOp QuantizedMul
SparseConditionalAccumulatorOp SparseConditionalAccumulator
SparseAccumulatorApplyGradientOp SparseAccumulatorApplyGradient
SparseAccumulatorTakeGradientOp SparseAccumulatorTakeGradient
TestGpuRadixSortKernel TestGpuRadixSort
TestGpuInclusivePrefixSumKernel TestGpuInclusivePrefixSum
TestGpuSegmentedReduceKernel TestGpuSegmentedSum
EnqueueOp QueueEnqueueV2
EnqueueManyOp QueueEnqueueManyV2
DequeueOp QueueDequeueV2
DequeueManyOp QueueDequeueManyV2
DequeueUpToOp QueueDequeueUpToV2
QueueCloseOp QueueCloseV2
QueueSizeOp QueueSizeV2
QueueIsClosedOp QueueIsClosedV2
FakeQueueOp FakeQueue
SendOp _HostSend
RecvOp _HostRecv
AsStringOp AsString
ScopedAllocatorOp _ScopedAllocator
ScopedAllocatorConcatOp _ScopedAllocatorConcat
ScopedAllocatorSplitOp _ScopedAllocatorSplit
StringUpperOp StringUpper
FingerprintOp Fingerprint
DecodeProtoOp DecodeProtoV2
InvertPermutationOp InvertPermutation
TransposeCpuOp Transpose
ConjugateTransposeCpuOp ConjugateTranspose
TransposeGpuOp Transpose
ConjugateTransposeGpuOp ConjugateTranspose
Conv2DUsingGemmOp Conv2D
ApproximateEqualOp ApproximateEqual
ImmutableConstantOp ImmutableConst
ConstantOp Const
FillOp Fill
ZerosLikeOp ZerosLike
OnesLikeOp OnesLike
PlaceholderOp PlaceholderV2
DequantizeOp Dequantize
SparseSliceGradOp SparseSliceGrad
RaggedCrossOp RaggedCross
SdcaOptimizer SdcaOptimizerV2
SdcaShrinkL1 SdcaShrinkL1
SdcaFprint SdcaFprint
BatchToSpaceNDOp BatchToSpaceND
BatchToSpaceOp BatchToSpace
DynamicPartitionOpGPU DynamicPartition
ReluOp Relu
ReluGradOp ReluGrad
Relu6Op Relu6
Relu6GradOp Relu6Grad
LeakyReluOp LeakyRelu
LeakyReluGradOp LeakyReluGrad
EluOp Elu
EluGradOp EluGrad
SeluOp Selu
SeluGradOp SeluGrad
BatchNormOp BatchNormWithGlobalNormalization
BatchNormGradOp BatchNormWithGlobalNormalizationGrad
SnapshotOp Snapshot
SparseReshapeOp SparseReshape
FractionalMaxPoolOp FractionalMaxPool
FractionalMaxPoolGradOp FractionalMaxPoolGrad
EditDistanceOp EditDistance
StackOp StackV2
TemplatedStackPushOp StackPushV2
StackPopOp StackPopV2
StackCloseOp StackCloseV2
TopK TopKV2
SoftsignOp Softsign
SoftsignGradOp SoftsignGrad
ShapeOp Shape
ShapeNOp ShapeN
RankOp Rank
SizeOp Size
ExpandDimsOp ExpandDims
SqueezeOp Squeeze
EnsureShapeOp EnsureShape
SparseReduceOp SparseReduceMax
SparseReduceSparseOp SparseReduceMaxSparse
SaveV2 SaveV2
RestoreV2 RestoreV2
MergeV2Checkpoints MergeV2Checkpoints
CollectiveGatherOpKernel CollectiveGather
CollectiveReduceOpKernel CollectiveReduce
CollectiveBcastSendOpKernel CollectiveBcastSend
CollectiveBcastRecvOpKernel CollectiveBcastRecv
CollectiveReduceV2OpKernel CollectiveReduceV2
CollectiveGatherV2OpKernel CollectiveGatherV2
CollectiveBcastSendV2OpKernel CollectiveBcastSendV2
CollectiveBcastRecvV2OpKernel CollectiveBcastRecvV2
DataFormatDimMapOp DataFormatDimMap
DataFormatVecPermuteOp DataFormatVecPermute
FusedResizeConv2DUsingGemmOp FusedPadConv2D
LoadAndRemapMatrixOp LoadAndRemapMatrix
FFTCPU IRFFT3D
FFTGPU BatchIFFT3D
AssertOp Assert
PrintOp Print
PrintV2Op PrintV2
TimestampOp Timestamp
_HostConstantOp HostConst
SparseSegmentReductionSumOp SparseSegmentSum
SparseSegmentReductionSumWithNumSegmentsOp SparseSegmentSumWithNumSegments
SparseSegmentReductionMeanOp SparseSegmentMean
SparseSegmentReductionMeanWithNumSegmentsOp SparseSegmentMeanWithNumSegments
SparseSegmentReductionSqrtNOp SparseSegmentSqrtN
SparseSegmentReductionSqrtNWithNumSegmentsOp SparseSegmentSqrtNWithNumSegments
SparseSegmentSumGradOp SparseSegmentSumGrad
SparseSegmentMeanGradOp SparseSegmentMeanGrad
SparseSegmentSqrtNGradOp SparseSegmentSqrtNGrad
LRNOp LRN
LRNGradOp LRNGrad
QuantizedConcatOp QuantizedConcat
MaxPoolingGradOp MaxPoolGradV2
MaxPoolingGradGradOp MaxPoolGradGradV2
MaxPoolingWithArgmaxOp MaxPoolWithArgmax
MaxPoolingGradWithArgmaxOp MaxPoolGradWithArgmax
MaxPoolingOp MaxPool
MaxPoolingV2Op MaxPoolV2
MaxPoolingNoMaskOp MaxPool
MaxPoolingNoMaskV2Op MaxPoolV2
MaxPoolingGradGradWithArgmaxOp MaxPoolGradGradWithArgmax
SparseSoftmaxXentWithLogitsOp SparseSoftmaxCrossEntropyWithLogits
ScanOp CumulativeLogsumexp
ParseExampleOp ParseExampleV2
ParseSingleExampleOp ParseSingleExample
ParseSequenceExampleOp ParseSequenceExampleV2
ParseSingleSequenceExampleOp ParseSingleSequenceExample
DecodeJSONExampleOp DecodeJSONExample
DecodeWavOp DecodeWav
ReduceJoinOp ReduceJoin
SparseSparseBinaryOpShared SparseSparseMaximum
UpperBoundOp UpperBound
LowerBoundOp LowerBound
RaggedTensorFromVariantOp RaggedTensorFromVariant
RandomShuffleOp RandomShuffle
PadOp PadV2
TileOp Tile
TileGradientOp TileGrad
AssignOpT Assign
DenseUpdateOp AssignSub
NthElementOp NthElement
SplitOpCPU Split
SplitOpGPU Split
UnaryVariantOp Conj
EncodeBase64Op EncodeBase64
DecodeBase64Op DecodeBase64
DepthToSpaceOp DepthToSpace
LegacyStringToHashBucketOp StringToHashBucket
StringToKeyedHashBucketOp StringToHashBucketStrong
ResourceHandlesOp _VarHandlesOp
ReadVariableOp ReadVariableOp
ReadVariablesOp _ReadVariablesOp
VarHandleOp VarHandleOp
VariableShapeOp VariableShape
DestroyResourceOp DestroyResourceOp
AssignVariableOp AssignVariableOp
AssignUpdateVariableOp AssignSubVariableOp
VarIsInitializedOp VarIsInitializedOp
IsResourceInitialized IsBoostedTreesEnsembleInitialized
ResourceGatherOp ResourceGather
ResourceGatherNdOp ResourceGatherNd
ResourceScatterUpdateOp ResourceScatterUpdate
DynamicStitchOpCPU DynamicStitch
ParallelDynamicStitchOpCPU ParallelDynamicStitch
DynamicStitchOpGPU DynamicStitch
UnravelIndexOp UnravelIndex
PaddingFIFOQueueOp PaddingFIFOQueueV2
StridedSliceOp StridedSlice
StridedSliceGradOp StridedSliceGrad
StridedSliceAssignOp TensorStridedSliceUpdate
ParseTensorOp ParseTensor
SerializeTensorOp SerializeTensor
UniqueOp UniqueWithCountsV2
Pooling3DOp AvgPool3D
MaxPooling3dGradOp MaxPool3DGrad
MaxPooling3dGradGradOp MaxPool3DGradGrad
AvgPooling3dGradOp AvgPool3DGrad
SoftplusOp Softplus
SoftplusGradOp SoftplusGrad
ReaderReadOp ReaderReadV2
ReaderReadUpToOp ReaderReadUpToV2
ReaderNumRecordsProducedOp ReaderNumRecordsProducedV2
ReaderNumWorkUnitsCompletedOp ReaderNumWorkUnitsCompletedV2
ReaderSerializeStateOp ReaderSerializeStateV2
ReaderRestoreStateOp ReaderRestoreStateV2
ReaderResetOp ReaderResetV2
RegexReplaceOp RegexReplace
StaticRegexReplaceOp StaticRegexReplace
StatelessRandomPoissonOp StatelessRandomPoisson
QuantizedAddOp QuantizedAdd
HistogramFixedWidthOp HistogramFixedWidth
NcclAllReduceOpKernel NcclAllReduce
NcclReduceSendKernel _NcclReduceSend
NcclReduceRecvKernel _NcclReduceRecv
NcclBroadcastSendKernel _NcclBroadcastSend
NcclBroadcastRecvKernel _NcclBroadcastRecv
NcclStubKernel NcclReduce
StringSplitOp StringSplit
StringSplitV2Op StringSplitV2
SparseFillEmptyRowsOp SparseFillEmptyRows
SparseFillEmptyRowsGPUOp SparseFillEmptyRows
SparseFillEmptyRowsGradOp SparseFillEmptyRowsGrad
TensorScatterOp TensorScatterMax
SparseAddOp SparseAdd
FixedLengthRecordReaderOp FixedLengthRecordReaderV2
QuantizeV2Op QuantizeV2
SoftmaxXentWithLogitsOp SoftmaxCrossEntropyWithLogits
UnicodeScriptOp UnicodeScript
InTopK InTopKV2
MutexLockOp MutexLock
ConsumeMutexLockOp ConsumeMutexLock
CountUpToOp CountUpTo
ResourceCountUpToOp ResourceCountUpTo
WholeFileReaderOp WholeFileReaderV2
ReadFileOp ReadFile
WriteFileOp WriteFile
RequantizeOp Requantize
IdentityNOp IdentityN
NoOp _FusedBatchNormEx
RaggedTensorToVariantOp RaggedTensorToVariant
RaggedTensorToVariantGradientOp RaggedTensorToVariantGradient
CompositeTensorVariantToComponents CompositeTensorVariantToComponents
CompositeTensorVariantFromComponents CompositeTensorVariantFromComponents
DiagOp Diag
DiagPartOp DiagPart
GetSessionHandleOp GetSessionHandleV2
GetSessionTensorOp GetSessionTensor
DeleteSessionTensorOp DeleteSessionTensor
ReshapeOp Reshape
MapStageOp OrderedMapStage
MapUnstageOp OrderedMapUnstage
MapPeekOp OrderedMapPeek
MapUnstageNoKeyOp OrderedMapUnstageNoKey
MapSizeOp OrderedMapSize
MapIncompleteSizeOp OrderedMapIncompleteSize
MapClearOp OrderedMapClear
SparseReorderOp SparseReorder
CTCGreedyDecoderOp CTCGreedyDecoder
CTCBeamSearchDecoderOp CTCBeamSearchDecoder
SparseTensorDenseMatMulOp SparseTensorDenseMatMul
LookupTableFindOp LookupTableFindV2
LookupTableInsertOp LookupTableInsertV2
LookupTableRemoveOp LookupTableRemoveV2
LookupTableSizeOp LookupTableSizeV2
LookupTableExportOp LookupTableExportV2
LookupTableImportOp LookupTableImportV2
LookupTableOp MutableDenseHashTableV2
OptionsDatasetOp OptionsDataset
InterleaveDatasetOp InterleaveDataset
WindowOp Window
FlatMapDatasetOp FlatMapDataset
TensorDatasetOp TensorDataset
ShardDatasetOp ShardDataset
ZipDatasetOp ZipDataset
DatasetToGraphOp DatasetToGraphV2
DatasetCardinalityOp ExperimentalDatasetCardinality
DatasetFromGraphOp DatasetFromGraph
TensorSliceDatasetOp TensorSliceDataset
CacheDatasetOp CacheDatasetV2
WindowDatasetOp WindowDataset
TextLineDatasetOp TextLineDataset
PrefetchDatasetOp PrefetchDataset
MultiDeviceIteratorHandleOp MultiDeviceIterator
MultiDeviceIteratorInitOp MultiDeviceIteratorInit
MultiDeviceIteratorGetNextFromShardOp MultiDeviceIteratorGetNextFromShard
MultiDeviceIteratorToStringHandleOp MultiDeviceIteratorToStringHandle
MultiDeviceIteratorFromStringHandleOp MultiDeviceIteratorFromStringHandle
DeleteMultiDeviceIteratorOp DeleteMultiDeviceIterator
FinalizeDatasetOp FinalizeDataset
FinalizeDatasetNoopOp FinalizeDataset
TFRecordDatasetOp TFRecordDataset
RangeDatasetOp RangeDataset
TakeDatasetOp TakeDataset
PaddedBatchDatasetOp PaddedBatchDatasetV2
AnonymousMemoryCacheHandleOp AnonymousMemoryCache
DeleteMemoryCacheOp DeleteMemoryCache
DummyResourceOp DummyIterationCounter
OptimizeDatasetOp OptimizeDatasetV2
BatchDatasetOp BatchDatasetV2
ReduceDatasetOp ReduceDataset
GetOptionsOp GetOptions
OptionalNoneOp OptionalNone
OptionalFromValueOp OptionalFromValue
OptionalHasValueOp OptionalHasValue
OptionalGetValueOp OptionalGetValue
ShuffleDatasetOp ShuffleDatasetV3
ShuffleAndRepeatDatasetOp ShuffleAndRepeatDatasetV2
ModelDatasetOp ModelDataset
ConcatenateDatasetOp ConcatenateDataset
SparseTensorSliceDatasetOp SparseTensorSliceDataset
SkipDatasetOp SkipDataset
IteratorHandleOp IteratorV2
MakeIteratorOp MakeIterator
DeleteIteratorOp DeleteIterator
AnonymousIteratorHandleOp AnonymousIteratorV2
ToSingleElementOp DatasetToSingleElement
OneShotIteratorOp OneShotIterator
IteratorGetNextOp IteratorGetNextSync
IteratorGetNextAsOptionalOp IteratorGetNextAsOptional
IteratorToStringHandleOp IteratorToStringHandle
IteratorFromStringHandleOp IteratorFromStringHandleV2
SerializeIteratorOp SerializeIterator
DeserializeIteratorOp DeserializeIterator
MapDefunOp MapDefun
ParallelMapDatasetOp ParallelMapDatasetV2
FixedLengthRecordDatasetOp FixedLengthRecordDatasetV2
GeneratorDatasetOp GeneratorDataset
AnonymousSeedGeneratorHandleOp AnonymousRandomSeedGenerator
DeleteSeedGeneratorOp DeleteRandomSeedGenerator
MapDatasetOp ExperimentalMapDataset
ParallelBatchDatasetOp ParallelBatchDataset
FilterDatasetOp FilterDataset
RepeatDatasetOp RepeatDataset
